id,nombre,apellido,email,sexo,dimensions,requirements,longitude,latitude
1,Carlita,Karczinski,ckarczinski0@irs.gov,Female,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":6},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":5},{""name"":""alta estatura"",""score"":5}]",-70.0304205467103,-20.8958892768838
2,Gerik,Cars,gcars1@flavors.me,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":9},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":2},{""name"":""pala"",""score"":8},{""name"":""alta estatura"",""score"":8},{""name"":""guantes"",""score"":2}]",-70.110894271425,-20.7936949725973
3,Ossie,Sheryn,osheryn2@booking.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":2}]",-69.9469408662982,-21.2147925125998
4,Tobe,Castagneri,tcastagneri3@indiegogo.com,Female,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":7}]",-69.9532284707566,-20.0924306984322
5,Venus,Jorgesen,vjorgesen4@privacy.gov.au,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":2},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":6},{""name"":""alta estatura"",""score"":10},{""name"":""guantes"",""score"":4},{""name"":""primeros auxilios"",""score"":8},{""name"":""condicion fisica"",""score"":1},{""name"":""casco"",""score"":5}]",-70.0418768869521,-20.275823647603
6,Gloriana,Paulot,gpaulot5@ameblo.jp,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":9},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":5},{""name"":""cuerda"",""score"":5},{""name"":""pala"",""score"":8},{""name"":""alta estatura"",""score"":2}]",-69.9983608423759,-20.2460256468063
7,Wells,Larvin,wlarvin6@posterous.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":10}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":3}]",-69.8902606030894,-20.1663393227811
8,Nico,Ranstead,nranstead7@mlb.com,Male,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":4}]",-69.6479865367381,-20.1939207598008
9,Edan,Kamall,ekamall8@mozilla.com,Male,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":6},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":10},{""name"":""alta estatura"",""score"":6},{""name"":""guantes"",""score"":9},{""name"":""primeros auxilios"",""score"":1},{""name"":""condicion fisica"",""score"":1}]",-69.0144354893401,-20.796939803665
10,Morten,Stanford,mstanford9@1688.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":3},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":2},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":6},{""name"":""guantes"",""score"":7},{""name"":""primeros auxilios"",""score"":6}]",-69.7212377463126,-19.573282356656
